first_name,last_name,email,section,major1,major2,minor1,minor2
Saree,Buncom,sbuncomoo@spiegel.de,8,Mathematics,,Interactive Mulitmedia,
Aindrea,Boyan,aboyan8b@theguardian.com,8,Mathematics,,Interactive Mulitmedia,
Magnum,Becken,mbeckeno0@umn.edu,8,Mathematics,,Interactive Mulitmedia,
Marylin,Buncombe,mbuncombepi@accuweather.com,2,Computer Science,Communication Studies,Art History,
Woody,Chomley,wchomleypr@hao123.com,12,Computer Science,,,
Tamera,Chisnall,tchisnallgr@miibeian.gov.cn,1,Biology,African American Studies,,
Roanna,Ceney,rceney2n@princeton.edu,5,African American Studies,Women & Gender Studies,Sociology,
Nicolai,Avraham,navrahamq4@nytimes.com,2,Computer Science,Communication Studies,,
Tonie,Alstead,talsteadn7@bloomberg.com,4,Journalism,,History,
Harrietta,Andreasson,handreasson7d@soundcloud.com,11,Interactive Mulitmedia,,,
Leontyne,Abbe,labbemx@dion.ne.jp,9,Psychology,,,
Veradis,Egle,vegle1d@technorati.com,7,Interdisciplinary Studies,,,
Eddie,Eilles,eeillesra@home.pl,4,Journalism,History,,
Maurene,Kinghorne,mkinghorne18@shop-pro.jp,3,English,Economics,,
Eula,Pellatt,epellatthy@cbc.ca,1,Chemistry,,,
Morena,Offord,moffordrn@techcrunch.com,4,History,Finance,,
Shelby,Snugg,ssnuggfg@tiny.cc,9,Sociology,,Philiosophy,
Tarra,Rosas,trosas96@ebay.co.uk,2,Mathematics,,,
Schuyler,Wardlaw,swardlawjq@tiny.cc,5,Communication Studies,,Biology,
Darcy,Wishart,dwishartho@trellian.com,8,Music,,Journalism,
